title,author,genre,published_year
Clean Code,Robert C. Martin,Science,2008
The Clean Coder,Robert C. Martin,Science,2011
Clean Architecture,Robert C. Martin,Science,2017
The Pragmatic Programmer,Andrew Hunt,Science,1999
Domain-Driven Design,Eric Evans,Science,2003
Sapiens,Yuval Noah Harari,History,2011
Homo Deus,Yuval Noah Harari,History,2015
A Brief History of Time,Stephen Hawking,Science,1988
1984,George Orwell,Fiction,1949
To Kill a Mockingbird,Harper Lee,Fiction,1960
Guns, Germs, and Steel,Jared Diamond,Non-Fiction,1997
The Selfish Gene,Richard Dawkins,Science,1976
Thinking, Fast and Slow,Daniel Kahneman,Non-Fiction,2011
The Art of War,Sun Tzu,History,1910
Foundation,Isaac Asimov,Fiction,1951
